nombre,especialidad,procedimientos,ubicacion,servicio,precio_original,precio_numerico,tipo_precio
Dr. Luis Carlos Olguín Delgado,"Traumatólogo, Ortopedista","Cirugía de tobillo, Cirugía del pie, Lesiones de cartilago, Cirugía de pie y tobillo, Cirugía mínima invasiva","Camino Santa Teresa 1055, Magdalena Contreras",Visita de primera vez,"$2,000",2000.0,exacto
Dr. Gustavo Amador Ventura,"Ortopedista, Traumatólogo","Cirugía de columna, Artroscopia de hombro, Cirugía hombro, Cirugía mínima invasiva, Trauma de urgencia, Artroscopia, Reconstrucción articular, Lesiones de cartilago","Camino a Sta. Teresa 1055-S, Ciudad de México",Visita de primera vez,Precio sin especificar,,no especificado
Dr. Gustavo Amador Ventura,"Ortopedista, Traumatólogo","Cirugía de columna, Artroscopia de hombro, Cirugía hombro, Cirugía mínima invasiva, Trauma de urgencia, Artroscopia, Reconstrucción articular, Lesiones de cartilago","Av. Universidad 1080, Ciudad de México",Visita de primera vez,Precio sin especificar,,no especificado
Dr. Juan Francisco Javier Valles Figueroa,"Ortopedista, Traumatólogo","Cirugía columna, Prótesis de rodilla, Reemplazo articular de cadera, Cirugía mínima invasiva, Trauma de urgencia, Cirugía de tobillo, Cirugía del pie, Reconstrucción articular","Avenida Ejército Nacional 613 Consultorio 501. Torre Nueva. Hospital Español, Ciudad de México",Visita de primera vez,Precio sin especificar,,no especificado
Dr. Victor Adrian López López,"Ortopedista, Traumatólogo","Cirugía articular, Reconstrucción articular, Trauma de urgencia","TUXPAN 29 COLONIA ROMA (TORRE MEDICA DALINDE) CONSULTORIO 701, Cuauhtémoc",Visita de primera vez,"$1,500",1500.0,exacto
Dr. Victor Adrian López López,"Ortopedista, Traumatólogo","Cirugía articular, Reconstrucción articular, Trauma de urgencia","Tlacotalpan 59, Cuauhtémoc",Visita de primera vez,"$1,500",1500.0,exacto
Dr. Guillermo Ivan Ladewig Bernaldez,"Ortopedista, Traumatólogo","Cirugía de columna, Cirugía de columna","Avenida Universidad 1088, Ciudad de México",Visita de primera vez,"$1,500",1500.0,exacto
Dr. Guillermo Ivan Ladewig Bernaldez,"Ortopedista, Traumatólogo","Cirugía de columna, Cirugía de columna","Camino Santa Teresa 1055. Col. Heroes de Padierna, Ciudad de México",Visita de primera vez,"$1,500",1500.0,exacto
Dr. Jorge Luis Campa Arellano,"Ortopedista, Traumatólogo","Artroscopia, Artroscopia de hombro, Prótesis de rodilla, Reemplazo articular de cadera, Artroscopia de hombro, Artroscopia de rodilla","Puente de Piedra #150, Torre 1, Consultorio #118, Tlalpan",Visita de primera vez,"$1,900",1900.0,exacto
Dr. Luis Manuel Alanis Ocadiz,"Ortopedista, Traumatólogo","Artroscopia y lesiones deportivas, Cirugía hombro, Cirugía de rodilla, Prótesis, Trauma de urgencia, Trauma extrahospitalaria, Artroplastia, Reconstrucción articular","Avenida Río Churubusco 601, Benito Juárez",Visita de primera vez,"$1,200",1200.0,exacto
